cluster_id,ox,oy,dx,dy,flow,distance_m,riding_time_s,is_workday,origin_id,destination_id,semantics_origin,semantics_dest,semantics_id_origin,semantics_id_dest,category_origin,category_dest,category_id_origin,category_id_dest
9,114.35220736155742,30.52927610381071,114.36046443023304,30.54394581144566,51,2672.9607843137255,845.9019607843137,非工作日,174.0,1114.0,南二门,工学部6舍,60.0,106.0,交通枢纽,学生宿舍,0.0,4.0
127,114.36404686168018,30.53939526501387,114.3526037676287,30.529151360122345,45,2228.9777777777776,753.4888888888889,非工作日,854.0,176.0,枫园14舍,南二门,148.0,60.0,学生宿舍,交通枢纽,4.0,0.0
150,114.35236917049873,30.529240615367556,114.36489997333099,30.543663344179816,41,2513.170731707317,775.4634146341464,非工作日,174.0,910.0,南二门,湖滨食堂,60.0,376.0,交通枢纽,食堂,0.0,10.0
164,114.36457896241505,30.544702819440673,114.35218764322921,30.529455542374468,37,2614.837837837838,863.027027027027,非工作日,1183.0,178.0,未知,南二门,-1.0,60.0,学生宿舍,交通枢纽,4.0,0.0
115,114.35238078287249,30.529308539638578,114.36420766191713,30.544859306597857,36,2636.972222222222,844.9722222222222,非工作日,174.0,1184.0,南二门,湖滨十三舍,60.0,370.0,交通枢纽,学生宿舍,0.0,4.0
136,114.3603824315654,30.54391376114491,114.35265548344755,30.52916840016211,29,2733.689655172414,853.2758620689655,非工作日,1090.0,176.0,工学部15舍,南二门,96.0,60.0,学生宿舍,交通枢纽,4.0,0.0
2,114.3521693388297,30.52931538812468,114.36049443045876,30.54683637104128,27,2919.1481481481483,882.3333333333334,非工作日,174.0,1236.0,南二门,尖端科技楼,60.0,88.0,交通枢纽,教学区域,0.0,6.0
20,114.35245620179491,30.529246515617093,114.36117241846124,30.54539155669167,27,2914.703703703704,956.4444444444445,非工作日,176.0,1122.0,南二门,体育部,60.0,30.0,交通枢纽,运动场地,0.0,1.0
144,114.35229128237803,30.529343765739103,114.36516474454966,30.5435334315334,24,2575.2083333333335,798.25,非工作日,174.0,916.0,南二门,湖滨学生3舍,60.0,374.0,交通枢纽,学生宿舍,0.0,4.0
18,114.35169504976511,30.540299611994993,114.35397681881211,30.53094716079306,24,1682.0833333333333,603.0833333333334,非工作日,784.0,249.0,卓尔体育馆,信息学部4舍,58.0,36.0,教学区域,学生宿舍,6.0,4.0
122,114.35918641710124,30.538622775149822,114.35301828225955,30.52912786373277,23,1709.608695652174,588.6521739130435,非工作日,693.0,176.0,武汉大学梅园四、五舍,南二门,328.0,60.0,学生宿舍,交通枢纽,4.0,0.0
126,114.36401330539735,30.53937453741062,114.35207770141962,30.529666892664714,23,2151.913043478261,692.2608695652174,非工作日,854.0,178.0,枫园14舍,南二门,148.0,60.0,学生宿舍,交通枢纽,4.0,0.0
138,114.35643926010884,30.538221968558727,114.35267951849075,30.529120080661936,22,1567.5,546.4545454545455,非工作日,617.0,176.0,文理学部教5楼,南二门,135.0,60.0,教学区域,交通枢纽,6.0,0.0
161,114.35943055837235,30.545128830004085,114.35266013183276,30.52918982423004,21,2737.2380952380954,846.1428571428571,非工作日,1124.0,176.0,工学部1舍,南二门,99.0,60.0,学生宿舍,交通枢纽,4.0,0.0
130,114.35646619920018,30.538238382399868,114.36501271382778,30.54370178345734,21,1371.904761904762,479.42857142857144,非工作日,617.0,910.0,文理学部教5楼,湖滨食堂,135.0,376.0,教学区域,食堂,6.0,10.0
12,114.35662571147883,30.53732978160745,114.35303964604873,30.52999992628858,21,1277.857142857143,458.7142857142857,非工作日,591.0,180.0,武汉大学总图书馆,武汉大学信息部学生宿舍11舍,315.0,242.0,教学区域,学生宿舍,6.0,4.0
134,114.36042359122129,30.543909376004883,114.35180948736834,30.529444458904983,20,2617.15,808.6,非工作日,1113.0,165.0,工学部4舍,南二门,102.0,60.0,学生宿舍,交通枢纽,4.0,0.0
47,114.35770212069983,30.545438025550673,114.35208231693127,30.529422653518445,20,2582.45,889.85,非工作日,1020.0,165.0,工学部A教学楼,南二门,110.0,60.0,教学区域,交通枢纽,6.0,0.0
153,114.35310899733057,30.528948106002908,114.35162642376606,30.540405562367727,20,1683.0,520.05,非工作日,173.0,786.0,南二门,计算机学院,60.0,442.0,交通枢纽,教学区域,0.0,6.0
103,114.35250574312525,30.52915633199799,114.36402242820324,30.53943391319214,20,2183.1,737.55,非工作日,174.0,854.0,南二门,枫园14舍,60.0,148.0,交通枢纽,学生宿舍,0.0,4.0
168,114.35233636877743,30.543917677467114,114.35219254073202,30.529514394095912,20,1867.1,586.25,非工作日,1139.0,174.0,工学部学生新4栋,南二门,117.0,60.0,学生宿舍,交通枢纽,4.0,0.0
16,114.35328341110554,30.54118156833159,114.3520930521435,30.529527734775762,20,1584.95,502.75,非工作日,805.0,178.0,桂园2舍,南二门,160.0,60.0,学生宿舍,交通枢纽,4.0,0.0
121,114.3590674550948,30.53856963739749,114.352619365773,30.52911923294713,20,1735.4,588.95,非工作日,693.0,176.0,武汉大学梅园四、五舍,南二门,328.0,60.0,学生宿舍,交通枢纽,4.0,0.0
171,114.35164197428492,30.540325979000688,114.35407086653656,30.530049424350647,20,1771.85,693.8,非工作日,786.0,243.0,计算机学院,信息学部6舍,442.0,38.0,教学区域,学生宿舍,6.0,4.0
110,114.35913183617276,30.5385864468137,114.35192840146408,30.52935841524067,19,1778.1052631578948,616.5263157894736,非工作日,693.0,165.0,武汉大学梅园四、五舍,南二门,328.0,60.0,学生宿舍,交通枢纽,4.0,0.0
148,114.35239000927743,30.52918313929233,114.36656686325368,30.540271114113647,19,2714.4736842105262,886.0,非工作日,174.0,852.0,南二门,武汉大学枫园学生十二舍,60.0,322.0,交通枢纽,学生宿舍,0.0,4.0
152,114.35177335080715,30.54034323884834,114.35293754246696,30.530035774456493,19,1485.842105263158,477.7894736842105,非工作日,786.0,180.0,计算机学院,武汉大学信息部学生宿舍11舍,442.0,242.0,教学区域,学生宿舍,6.0,4.0
170,114.35172962091347,30.540306899213277,114.35329792714192,30.528786909446964,19,1826.5263157894738,584.8947368421053,非工作日,786.0,172.0,计算机学院,信息学部学生宿舍7舍,442.0,42.0,教学区域,学生宿舍,6.0,4.0
104,114.35648808797072,30.53822284811778,114.35306954144573,30.529200919025726,17,1552.8235294117646,533.4705882352941,非工作日,617.0,176.0,文理学部教5楼,南二门,135.0,60.0,教学区域,交通枢纽,6.0,0.0
108,114.35947081725814,30.538039696458334,114.35240473535302,30.529138152892227,17,1592.0588235294117,566.7647058823529,非工作日,691.0,174.0,武汉大学总务后勤部,南二门,314.0,60.0,其他,交通枢纽,2.0,0.0
166,114.3517863908381,30.540303523141212,114.35316721779384,30.529738860315312,17,1757.1176470588234,569.7058823529412,非工作日,784.0,179.0,卓尔体育馆,武汉大学信息学部四食堂,58.0,209.0,运动场地,食堂,1.0,10.0
141,114.35595070672213,30.54644435475396,114.35214450298089,30.529462507002254,17,2403.823529411765,707.2941176470588,非工作日,1247.0,174.0,工学部A教学楼,南二门,110.0,60.0,教学区域,交通枢纽,6.0,0.0
167,114.35306200294178,30.52881587435047,114.35229732729165,30.540471670650284,17,1618.7058823529412,521.7058823529412,非工作日,173.0,798.0,南二门,电子信息学院,60.0,391.0,交通枢纽,教学区域,0.0,6.0
160,114.35242795225656,30.529177044585996,114.36497362531381,30.54506264177834,17,2781.0588235294117,895.8823529411765,非工作日,174.0,1187.0,南二门,凌波门,60.0,52.0,交通枢纽,交通枢纽,0.0,0.0
81,114.371676999616,30.537406148940345,114.36625851294633,30.534840340088657,16,1322.3125,525.875,非工作日,102.0,470.0,杨波门,珞东二门,147.0,382.0,交通枢纽,交通枢纽,0.0,0.0
100,114.35504367084035,30.538477889133087,114.35304061135994,30.529136253185175,16,1417.5625,509.5625,非工作日,608.0,176.0,文理学部教5楼,南二门,135.0,60.0,教学区域,交通枢纽,6.0,0.0
142,114.35605630930621,30.546511649374157,114.35279510911923,30.529033032605405,15,2763.8,832.2666666666667,非工作日,1247.0,176.0,工学部A教学楼,南二门,110.0,60.0,教学区域,交通枢纽,6.0,0.0
165,114.35237306934563,30.529258856761015,114.3597758102298,30.54508243027291,15,2787.4666666666667,884.6,非工作日,174.0,1124.0,南二门,工学部1舍,60.0,99.0,交通枢纽,学生宿舍,0.0,4.0
14,114.35317754739059,30.541136763931092,114.3530123577582,30.529155951876863,15,1761.0,633.4,非工作日,802.0,176.0,桂园2舍,南二门,160.0,60.0,学生宿舍,交通枢纽,4.0,0.0
30,114.35116840183181,30.540951724740292,114.35298539497283,30.52891673201186,15,1924.8,598.6,非工作日,791.0,176.0,计算机学院,南二门,442.0,60.0,教学区域,交通枢纽,6.0,0.0
26,114.3498893761776,30.52926682422344,114.35164053733001,30.540366983457133,15,1875.6666666666667,575.4666666666667,非工作日,162.0,786.0,国际软件学院C3宿舍,计算机学院,74.0,442.0,学生宿舍,教学区域,6.0,6.0
37,114.35655745034042,30.538175506705738,114.3669828378804,30.539748025992427,15,1521.2666666666667,513.7333333333333,非工作日,617.0,847.0,文理学部教5楼,枫园学生4舍,135.0,152.0,教学区域,学生宿舍,6.0,4.0
19,114.3716248304937,30.53748440798689,114.3531106622239,30.52922060801018,14,2699.5,907.5,非工作日,102.0,175.0,杨波门,南二门,147.0,60.0,交通枢纽,交通枢纽,0.0,0.0
38,114.3531899590229,30.536236618495188,114.35277438090327,30.52910968173017,14,1080.0714285714287,414.35714285714283,非工作日,447.0,176.0,牌坊草坪,南二门,379.0,60.0,教学区域,交通枢纽,6.0,0.0
80,114.35300994244025,30.530017000289067,114.35663286282613,30.53742166384787,14,1315.142857142857,445.2142857142857,非工作日,180.0,591.0,武汉大学信息部学生宿舍11舍,武汉大学总图书馆,242.0,315.0,学生宿舍,教学区域,4.0,6.0
147,114.35230647699935,30.529210148042488,114.3534177387345,30.54197141522581,14,1838.2857142857142,699.0714285714286,非工作日,174.0,824.0,南二门,桂园3舍,60.0,161.0,交通枢纽,学生宿舍,0.0,4.0
107,114.35840667172533,30.539170099233,114.35292248803755,30.52914727245093,14,1731.142857142857,696.9285714285714,非工作日,718.0,176.0,武汉大学梅园一舍,南二门,324.0,60.0,学生宿舍,交通枢纽,4.0,0.0
151,114.3604329095995,30.546607992447072,114.35213186162078,30.52944424682412,14,2866.5,881.0714285714286,非工作日,1219.0,174.0,尖端科技楼,南二门,88.0,60.0,教学区域,交通枢纽,6.0,0.0
158,114.35648515416572,30.538225191953906,114.352090160529,30.52953321307982,14,1472.0,537.5,非工作日,617.0,178.0,文理学部教5楼,南二门,135.0,60.0,教学区域,交通枢纽,6.0,0.0
63,114.36496075681232,30.54366753593056,114.35199785746383,30.534371835662533,14,2045.5714285714287,680.4285714285714,非工作日,910.0,415.0,湖滨食堂,牌坊,376.0,378.0,食堂,交通枢纽,10.0,0.0
140,114.35228321908953,30.52923503399344,114.35881453992991,30.545349021052363,14,2855.785714285714,895.9285714285714,非工作日,174.0,1123.0,南二门,工学部学生7舍,60.0,116.0,交通枢纽,学生宿舍,0.0,4.0
50,114.36747015065302,30.540808508047274,114.35238847539335,30.529236999990086,14,2814.6428571428573,933.9285714285714,非工作日,868.0,174.0,武汉大学经济与管理学院,南二门,335.0,60.0,教学区域,交通枢纽,6.0,0.0
39,114.35907946276646,30.538505826157763,114.35205820121324,30.53422406116033,13,1234.923076923077,418.38461538461536,非工作日,693.0,426.0,武汉大学梅园四、五舍,武汉大学信息学部教工宿舍34栋,328.0,225.0,学生宿舍,教工宿舍,4.0,7.0
129,114.36074022892748,30.546507387945518,114.35279166765574,30.52900699500233,13,3051.5384615384614,990.8461538461538,非工作日,1218.0,176.0,武汉大学青年互助服务中心,南二门,345.0,60.0,教学区域,交通枢纽,6.0,0.0
111,114.35218913778183,30.52933102943492,114.35393576847007,30.541937212173572,13,1731.2307692307693,565.9230769230769,非工作日,174.0,958.0,南二门,桂园6舍,60.0,163.0,交通枢纽,学生宿舍,0.0,4.0
49,114.35245874981828,30.5404078162124,114.35255056532812,30.529940779999414,13,1501.6923076923076,557.8461538461538,非工作日,798.0,181.0,电子信息学院,维修服务平台,391.0,400.0,教学区域,其他,6.0,2.0
139,114.35666744029007,30.5372383989783,114.35192797430298,30.529453139249206,13,1465.5384615384614,546.1538461538462,非工作日,591.0,165.0,武汉大学总图书馆,南二门,315.0,60.0,教学区域,交通枢纽,6.0,0.0
162,114.35216150721679,30.540492409899976,114.3498469951115,30.529239609434562,13,1828.1538461538462,695.9230769230769,非工作日,798.0,162.0,电子信息学院,国际软件学院C3宿舍,391.0,74.0,教学区域,学生宿舍,6.0,6.0
123,114.35217409222349,30.529193097722573,114.36023542395853,30.5447223896714,13,2901.769230769231,912.0,非工作日,174.0,1116.0,南二门,未知,60.0,-1.0,交通枢纽,其他,0.0,2.0
133,114.35223017374362,30.529205082866,114.35915728286545,30.53853927204936,13,1730.5384615384614,556.3846153846154,非工作日,174.0,693.0,南二门,武汉大学梅园四、五舍,60.0,328.0,交通枢纽,学生宿舍,0.0,4.0
24,114.35666067362102,30.537299388771537,114.35305500317494,30.529159239011566,13,1413.7692307692307,488.0,非工作日,591.0,176.0,武汉大学总图书馆,南二门,315.0,60.0,教学区域,交通枢纽,6.0,0.0
106,114.35840395445854,30.53910169720039,114.35208041358827,30.52925794465679,12,1645.4166666666667,554.5833333333334,非工作日,718.0,174.0,武汉大学梅园一舍,南二门,324.0,60.0,学生宿舍,交通枢纽,4.0,0.0
